title,en,fi
cat1_sub1_desc1,"The number of frequent or occasional eSports viewers has steadily increased since 2012, reaching a peak of 162 million frequent viewers and 161 million occasional viewers in 2016. The League of Legends final last year was watched by more people than the last game of the NBA finals (36 million compared to 31 million).",Määrä usein tai satunnaisesti eSportsiin katsojien on kasvanut tasaisesti vuodesta 2012 ja oli korkeimmillaan 162 miljoonaa usein katsojaa ja 161 miljoonaa satunnaista katsojaa vuonna 2016. League of Legends lopullinen viime vuonna katsellut enemmän ihmisiä kuin viimeinen peli NBA (36000000 verrattuna 31000000).
cat1_sub1_desc2,"Based on Statista projections, the number of frequent or occasional eSports viewers is expected to rise to 286 million and 303 million, respectively, by 2020. To put that into perspective, US male millennials already watch eSports as much as they watch baseball and ice hockey","Perustuen Statista ennusteiden määrä usein tai satunnaisesti eSportsiin katsojia odotetaan nousevan 286 miljoonaa ja 303 miljoonaa vastaavasti vuoteen 2020 mennessä esittää, että oikeisiin mittasuhteisiin, USA miespuolinen millennials jo katsella eSportsiin yhtä paljon kuin katsovat baseball ja jääkiekko"
cat1_sub1_txt1,NUMBER OF VIEWERS,Määrä katsojia
cat1_sub1_txt2,YEAR,VUOSI
cat1_sub1_txt3,FREQUENT VIEWERS,USEIN KATSOJAT
cat1_sub1_txt4,OCCASIONAL VIEWERS,satunnaiseen KATSOJAT
cat1_sub2_title,HOW MUCH PRIZE MONEY HAS BEEN AWARDED?,Kuinka paljon palkintorahaa ON TEHTY?
cat1_sub2_desc1,"From 2013 to 2016, the prize money awarded across all eSports games more than quadrupled ($21.4 million to $93.3 million).","Vuodesta 2013 vuoteen 2016 palkintorahoja myönnettiin kaikissa eSportsiin pelejä yli nelinkertaistunut ($ 21,4 miljoonaa $ +93,3 miljoonaa euroa)."
cat1_sub2_desc2,"Projecting ahead to 2017, prize money could be set to breach the $150 million mark, denoting an almost 100-fold increase from the 2003 figure ($1.53 million)","Ulkonevat eteenpäin 2017, palkintorahat voitaisiin asettaa rikkomaan $ 150 miljoonan rajan, ilmaiseva lähes 100-kertainen vuoden 2003 luku ($ 1,53 miljoonaa euroa)"
cat1_sub2_txt1,PRIZE MONEY,PALKINTORAHAT
cat1_sub2_txt2,YEAR,VUOSI
cat1_sub3_title,HOW MANY TOURNAMENTS ARE HELD EACH YEAR?,KUINKA MONTA turnauksia järjestetään vuosittain?
cat1_sub3_desc1,"The total number of tournaments across all eSports games reached a peak in 2015 (4,913) before dropping in 2016 (3,874).",Kokonaismäärä turnauksia kaikissa eSportsiin pelit olivat korkeimmillaan vuonna 2015 (4913) ennen pudottamalla vuonna 2016 (3874).
cat1_sub3_txt1,NUMBER OF TOURNAMENTS,LUKUMÄÄRÄ TURNAUKSET
cat1_sub3_txt2,YEAR,VUOSI
cat1_sub4_title,NUMBER OF ESPORTS PROFESSIONALS,LUKUMÄÄRÄ ESPORTS PROFESSIONALS
cat1_sub4_desc1,"The total number of eSports professionals rose rapidly from 2012 (4,246) to 2015 (13,095) but began to level out in 2016 (13,555).","Kokonaismäärä eSports ammattilaisia ​​nousi nopeasti vuodesta 2012 (4246) ja 2015 (13095), mutta alkoi tasaantua vuonna 2016 (13555)."
cat1_sub4_txt1,ESPORTS PROFESSIONALS,ESPORTS AMMATTILAISET
cat1_sub4_txt2,YEAR,VUOSI
cat1_sub5_title,AVERAGE TOURNAMENT WINNINGS,KESKIMÄÄRIN turnauksista
cat1_sub5_desc1,"The average payout across all tournaments declined to its lowest point in 2009 ($6,396).",Keskimääräinen voitto kaikissa turnauksissa laski alimmillaan vuonna 2009 ($ 6396).
cat1_sub5_desc2,"Since 2009, however, average tournament winnings have bloomed, with 2016 ($24,097) representing eSports' most lucrative year to date.","Vuodesta 2009 on kuitenkin keskimäärin turnausvoittoina ovat kukki, jossa 2016 ($ 24097) edustavat eSportsiin kannattavin vuoden alusta."
cat1_sub5_txt1,AVERAGE TOURNAMENT WINNINGS,KESKIMÄÄRIN turnauksista
cat1_sub5_txt2,YEAR,VUOSI
cat1_sub6_title,COUNTRY WINNINGS OVER TIME,Maa Voitot ajan funktiona
cat1_sub6_desc1,"Up until 2011, there was little to separate United States and South Korea in terms of tournament winnings, before the latter – propelled by big wins on the Starcraft II circuit – enjoyed a three-year spell at the top.","Asti 2011, ei ollut juurikaan erottaa Yhdysvaltojen ja Etelä-Korean suhteen turnausvoittojen ennen kuin jälkimmäinen - kulje isoja voittoja on Starcraft II piiri - nautti kolmen vuoden loitsu yläreunassa."
cat1_sub6_desc2,"Owing to the performances of Wings Gaming in Dota 2's The International tournaments, China have topped the winnings leaderboard since 2014","Johtuen esityksiä Wings Gaming Dota 2: n kansainvälisiin turnauksiin, Kiina ovat kärjessä voitot tulostaulukoiden vuodesta 2014"
cat1_sub6_txt1,TOTAL COUNTRY WINNINGS,YHTEENSÄ Maa Voitot
cat1_sub6_txt2,YEAR,VUOSI
cat1_sub6_txt3,Select/Deselect the countries you would like to view.,Valitse / peruuta maat haluat katsella.
cat1_sub7_title,PLAYER NATIONALITIES,PLAYER NATIONALITIES
cat1_sub7_desc1,"The United States have been the most well-represented nation since the inception of competitive gaming and currently boast nearly triple the active player count (2,891) of China (1,001).",Yhdysvalloissa ovat olleet kaikkein hyvin edustettuna kansakunnan alusta lähtien kilpailukykyisen peli- ja tällä hetkellä ylpeillä lähes kolminkertainen aktiivinen pelaaja määrä (2891) Kiina (1001).
cat1_sub7_desc2,United States' dominance has been aided by investment from celebrities like Shaquille O'Neal and the US college system offering eSports scholarships.,Yhdysvaltain valta-asema on auttanut investointeja kuuluisuuksia kuten Shaquille O'Neal ja Yhdysvaltain kollegiaalijärjestelmän tarjoaa eSports stipendejä.
cat1_sub7_txt1,ESPORTS PROFESSIONALS,ESPORTS AMMATTILAISET
cat1_sub7_txt2,YEAR,VUOSI
cat1_sub7_txt3,Select/Deselect the countries you would like to view.,Valitse / peruuta maat haluat katsella.
cat1_sub8_title,PLAYER DENSITY PER MILLION POPULATION,PLAYER DENSITY miljoonaa asukasta kohti
cat1_sub8_desc1,"Since 2013, Sweden have topped the charts with regards to eSports professionals per million population.","Vuodesta 2013, Ruotsi ovat listojen kärjessä suhteen eSportsiin ammattilaisille miljoonaa henkeä kohti."
cat1_sub8_desc2,"Reflecting the the strong Nordic influence across eSports, Denmark, Finland and Norway also boast a higher player density than the likes of USA and China.","Heijastaa vahvan pohjoismaisen vaikutus kaikkialla eSports, Tanskassa, Suomessa ja Norjassa myös ylpeillä suurempi pelaaja tiheys kuin tykkää Yhdysvalloissa ja Kiinassa."
cat1_sub8_txt1,NUMBER OF PROS PER ONE MILLION PEOPLE,LUKUMÄÄRÄ PROS per miljoona ihmistä
cat1_sub8_txt2,YEAR,VUOSI
cat1_sub8_txt3,Select/Deselect the countries you would like to view.,Valitse / peruuta maat haluat katsella.
cat1_sub9_title,COUNTRY RANKINGS BY WINNINGS,MAA rankingissa VOITTOJEN
cat1_sub9_desc1,"Following a 16-year span during which United States and South Korea jostled for first place in the winnings rankings, China have claimed top spot in the previous three years, which can largely be attributed to their Dota 2 prowess.","Jälkeen 16 vuoden ajanjakson, jonka aikana Yhdysvallat ja Etelä-Korea jostled varten ensimmäisen sijan voitot rankingissa Kiina ovat väittäneet kärkipaikan kolmen edellisen vuoden aikana, jotka voivat pitkälti johtua niiden Dota 2 kyvykkyys."
cat1_sub9_desc2,Sweden broke the mould in 2003 by ascending to the summit and have only dropped out of the top five twice (2011 and 2012),Ruotsi rikkovasti vuonna 2003 nousevan huipulle ja on vain putosi pois viisi kertaa (2011 ja 2012)
cat1_sub9_txt1,RANKING,RANKING
cat1_sub9_txt2,YEAR,VUOSI
cat1_sub9_txt3,Select/Deselect the countries you would like to view.,Valitse / peruuta maat haluat katsella.
cat2_sub1_title,TOTAL PRIZE MONEY BY GAME,Yhteensä palkintorahaa pelin mukaan
cat2_sub1_desc1,"Owing to the huge prize pool of the yearly The International tournament, Dota 2's overall prize money ($94.95 million) more than doubles second-placed League of Legends ($37.07 million).","Koska valtava palkintopotti vuosittaisen kansainvälisen turnauksen, Dota 2 yleistä palkintorahat ($ +94,95 euroa) yli kaksinkertaistuu toiseksi sijoitettu League of Legends ($ +37,07 Me)."
cat2_sub1_desc2,"Despite only being released in the last few years, Heroes of the Storm (June 2015) and Hearthstone (March 2014) have breached the top 10 and look certain to overhaul Counter-Strike by the turn of 2018.","Vaikka vain vapautuu viime vuosina, Heroes of the Storm (kesäkuu 2015) ja Hearthstone (maaliskuu 2014) ovat rikkoneet top 10 ja katsoa tiettyjä uudistaa Counter-Strike vaihteeseen mennessä 2018."
cat2_sub1_txt1,GAME,PELI
cat2_sub1_txt2,PRIZE MONEY,PALKINTORAHAT
cat2_sub2_title,TOTAL PRO COUNT BY GAME,YHTEENSÄ PRO laskennoissa GAME
cat2_sub2_desc1,"Counter-Strike: Global Offensive (6,665) dwarfs the pro count of its eSports rivals, following in the footsteps of the its predecessor, Counter-Strike.","Counter-Strike: Global Offensive (6665) kääpiöt pro lasken sen eSports kilpailijat, jalanjäljissä ja sen edeltäjä, Counter-Strike."
cat2_sub2_txt1,GAME,PELI
cat2_sub2_txt2,ESPORTS PROFESSIONALS,ESPORTS AMMATTILAISET
cat2_sub3_title,TOTAL TOURNAMENTS BY GAME,YHTEENSÄ turnauksiin GAME
cat2_sub3_desc1,"A staple on the eSports scene since its release seven years ago, Starcraft II (4,057) has hosted nearly double as many tournaments as second-placed Counter-Strike: Global Offensive (2,113).","Katkottua on eSportsiin paikalle julkaisunsa jälkeen seitsemän vuotta sitten, Starcraft II (4057) on isännöinyt lähes kaksinkertainen yhtä paljon turnauksia kuin toiseksi sijoittunut Counter-Strike: Global Offensive (2113)."
cat2_sub3_txt1,GAME,PELI
cat2_sub3_txt2,NUMBER OF TOURNAMENTS,LUKUMÄÄRÄ TURNAUKSET
cat2_sub4_title,TOP EARNING TEAMS,TOP EARNING JOUKKUEET
cat2_sub4_desc1,"With total winnings of $15.43 million across 632 tournaments, Evil Geniuses are the most successful team in the history of eSports. In terms of their top games, Dota 2 accounts for 88.26% of their earnings.","Kokonaan voittojen $ 15,43 miljoonalla koko 632 turnausta, paha neroja ovat menestyksekkäin joukkue historiassa eSports. Mitattuna niiden myydyimmät pelit, Dota 2 osuus 88,26% tuloistaan."
cat2_sub4_desc2,"Wings Gaming lead the chasing pack with $9.7 million in total winnings across 21 tournaments. Apart from three paid finishes in Counter-Strike: Global Offensive tournaments, all of their winnings have come from Dota 2 tournaments.","Siivet Peli johtaa jahtaavat pakkaus $ 9,7 miljoonaa koko voitot kaikkiaan 21 turnausta. Lukuun ottamatta kolmea maksettu päättyy Counter-Strike: Global Offensive turnauksia, kaikkien niiden voitot ovat tulleet Dota 2 turnauksista."
cat2_sub4_txt1,TEAMS,JOUKKUEET
cat2_sub4_txt2,TOTAL WINNINGS,Voitot yhteensä
cat2_sub5_title,TOP EARNING PLAYERS,TOP EARNING PELAAJAT
cat2_sub5_desc1,"By virtue of Evil Geniuses winning Dota 2's The International 2015 tournament and placing 3rd in The International 2016, teammates UNiVeRsE, ppd, SumaiL and Fear occupy the top four spots.","Nojalla Evil Geniuses voittavan Dota 2: n kansainvälinen 2015 turnauksen ja sijoittamalla 3rd kansainvälisessä 2016, joukkuetoverit Universe PPD, SumaiL ja pelko miehittää alkuun neljä paikkoja."
cat2_sub5_desc2,"Similarly, teammates iceice, bLink, y`, Faith_bian and Shadow of Wings Gaming scooped the top prize in the The International 2016 ($1.83 million).","Samoin joukkuetoverinsa iceice, vilkuttaa, Y, Faith_bian ja Shadow of Wings Gaming voitti pääpalkinnon The International 2016 ($ 1,83 miljoonaa euroa)."
cat2_sub5_txt1,Country,Maa
cat2_sub5_txt2,Main Game,tärkein peli
cat2_sub5_txt3,Rank,arvo
cat2_sub5_txt4,Country,Maa
cat2_sub5_txt5,Player ID,player ID
cat2_sub5_txt6,Player Name,Pelaaja nimi
cat2_sub5_txt7,Total Winnings,Voitot yhteensä
cat2_sub5_txt8,Main Game,tärkein peli
cat2_sub5_txt9,Winnings from Main Game,Voitot tärkein peli
cat2_sub6_title,TOP FEMALE PLAYERS BY WINNINGS,TOP naispelaajista BY VOITTOJEN
cat2_sub6_desc1,"With lifetime earnings of $171,185, Starcraft II pro Sasha Hostyn is the most successful female gamer.","Elinikäinen tulos $ 171185, Starcraft II pro Sasha Hostýn on menestyksekkäin naisten gamer."
cat2_sub6_desc2,"Despite not placing in a tournament since 2010, popular streamer Mystik ranks second ($122,000) following her $100,000 prize in a WCG Halo event.","Vaikka se ei ole sijoittanut turnaukseen vuodesta 2010, suosittu viiri Mystik toisella sijalla ($ 122000) seuraavat hänen $ 100,000 palkinnon WCG Halo tapahtuma."
cat2_sub6_txt1,Country,Maa
cat2_sub6_txt2,Main Game,tärkein peli
cat2_sub6_txt3,Rank,arvo
cat2_sub6_txt4,Country,Maa
cat2_sub6_txt5,Player ID,player ID
cat2_sub6_txt6,Player Name,Pelaaja nimi
cat2_sub6_txt7,Total Winnings,Voitot yhteensä
cat2_sub6_txt8,Main Game,tärkein peli
cat2_sub6_txt9,Winnings from Main Game,Voitot tärkein peli
cat2_sub7_title,TOP EARNING MEN,TOP EARNING MEN
cat2_sub7_txt1,Name,Nimi
cat2_sub7_txt2,Player,pelaaja
cat2_sub7_txt3,DOB,syntymäaika
cat2_sub7_txt4,Country,Maa
cat2_sub7_txt5,Total Prize Money,Yhteensä palkintorahaa
cat2_sub7_txt6,Tournament Wins,turnausvoittojen
cat2_sub8_title,TOP EARNING WOMEN,TOP EARNING NAISET
cat2_sub8_txt1,Name,Nimi
cat2_sub8_txt2,Player,pelaaja
cat2_sub8_txt3,DOB,syntymäaika
cat2_sub8_txt4,Country,Maa
cat2_sub8_txt5,Total Prize Money,Yhteensä palkintorahaa
cat2_sub8_txt6,Tournament Wins,turnausvoittojen
cat2_sub9_title,WHICH COUNTRY HAS WON THE MOST FROM TOURNAMENTS?,Mikä maa on voittanut eniten TURNAUKSET?
cat2_sub9_desc1,"Boosted by the $9.1 million prize for winning Dota 2's The International 2016, China ($52.5 million) lead United States ($47.9 million) in historical earnings.","Kasvatti $ 9.1 miljoonaa palkinnon voittaa Dota 2: n kansainvälinen 2016, Kiina ($ +52,5 miljoonaa euroa) johtaa Yhdysvallat ($ 47,9 miljoonaa euroa) historiallinen tulos."
cat2_sub9_desc2,"Elsewhere, Sweden ($19.37 million) have solidfied fourth spot with big wins by individuals in the Dota 2 scene over the last couple of years.","Muualla Ruotsissa ($ +19,37 euroa) ovat kiinteytyi neljäs paikalla on isoja voittoja yksityishenkilöt Dota 2 kohtaus parin viime vuoden aikana."
cat2_sub10_title,TOP PLAYERS BY PAID FINISHES,Huippupelaajia maksettujen VIIMEISTELY
cat2_sub10_desc1,"An eSports stalwart, Mew2King has logged an eye-watering 511 paid finishes across the Super Smash Brothers franchise throughout his 12-year career.","ESports roteva, Mew2King on kirjautunut silmä sulavia 511 maksettu päättyy poikki Super Smash Brothers franchising koko hänen 12-vuotisen uransa."
cat2_sub10_txt1,Country,Maa
cat2_sub10_txt2,Top Game,Top Game
cat2_sub10_txt3,Rank,arvo
cat2_sub10_txt4,Country,Maa
cat2_sub10_txt5,Player ID,player ID
cat2_sub10_txt6,Player Name,Pelaaja nimi
cat2_sub10_txt7,Overall Winnings,Kaiken Voitot
cat2_sub10_txt8,Overall Results,kokonaistulokset
cat2_sub10_txt9,Top Game,Top Game
cat2_sub10_txt10,Top Game Results,Top Game Tulokset
cat3_sub1_title,AGE,IKÄ
cat3_sub1_desc1,"The most common age among active players is 20 (1,425).",Yleisin ikä keskuudessa aktiivista pelaajaa on 20 (1425).
cat3_sub1_txt1,NUMBER OF PROS,LUKUMÄÄRÄ PROS
cat3_sub1_txt2,AGE,IKÄ
cat3_sub2_title,AT WHAT AGE DO PROS EARN THE MOST?,Missä iässä DO Hyödyt ansaita eniten?
cat3_sub2_desc1,"Historically, 25 has been the most lucrative age for professional gamers ($24,385).","Historiallisesti, 25 on ollut kaikkein tuottoisaa ikä ammattikäyttöön pelaajat ($ 24385)."
cat3_sub2_desc2,"Beyond 25, there is a significant drop-off in earning potential, with ages 31-33 marking the leanest period for gamers aged 15 or above.","Beyond 25, on merkittävä lasku-off tuottopotentiaalin kanssa iät 31-33 merkinnällä leanest ajan pelaajille 15-vuotiaat tai yli."
cat3_sub2_txt1,AVERAGE PLAYER WINNINGS,Keskimääräinen pelaaja VOITTOJEN
cat3_sub2_txt2,AGE,IKÄ
cat3_sub3_title,COUNTRY OF ORIGIN,ALKUPERÄMAA
cat3_sub3_desc1,"United States (8,023) has produced nearly four times as many players as second-placed Germany (2,038).",Yhdysvallat (8023) on laatinut lähes neljä kertaa niin monta pelaajaa kuin toiseksi sijoittunut Saksa (2038).
cat3_sub3_desc2,"In spite of its relatively small population, Sweden (1,597) charts fifth ahead of the likes of United Kingdom (1,592) and Russia (1,577).","Huolimatta sen suhteellisen pieni väestö, Ruotsi (1597) kaavioita viidennen ennen tykkää Yhdistyneessä kuningaskunnassa (1592) ja Venäjä (1577)."
cat3_sub4_title,WHERE ARE THE TOP 367 MALES AND FEMALES FROM?,MISSÄ ovat alkuun 367 miehillä ja naisilla FROM?
cat3_sub4_desc1,"Among the top 367 players for each gender, South Korea is the most well-represented nation for males (91), while United States is the most well-represented nation for females (52).","Kärjessä 367 pelaajaa kumpaakin sukupuolta, Etelä-Korea on kaikkein hyvin edustettuna kansakunnan miesten (91), kun taas Yhdysvallat on kaikkein hyvin edustettuna kansakunnan naisilla (52)."
cat3_sub4_desc2,Sweden are represented by exactly 29 players in both gender rankings.,Ruotsi edustaa täsmälleen 29 pelaajat sekä sukupuoleen rankingissa.
cat3_sub4_txt1,Male,Uros
cat3_sub4_txt2,Female,Nainen
cat3_sub4_txt3,VS,VS
cat4_sub1_title,DOTA 2 PRIZE MONEY AND PLAYERS,Dota 2 palkintorahat ja pelaajien
cat4_sub1_desc1,"Dota 2's prize money rose year on year from 2011 to a peak of $37.2 million in 2016, despite its player base reducing by over 200 players (978 to 772)","Dota 2: n palkintorahat nousi edellisvuodesta vuodesta 2011 huippulukemiin $ 37,2 miljoonaa 2016, vaikka sen pelaajakannan vähentää yli 200 pelaajaa (978-772)"
cat4_sub1_txt1,PRIZE MONEY AWARDED,Palkintorahat TEHTY
cat4_sub1_txt2,ESPORTS PROFESSIONALS,ESPORTS AMMATTILAISET
cat4_sub2_title,LEAGUE OF LEGENDS PRIZE MONEY AND PLAYERS,League of Legends palkintorahat ja pelaajien
cat4_sub2_desc1,"League of Legends' prize money fell by around $350,000 in 2015, before surpassing the $10 million mark in the following year.","League of Legends palkintorahoista laski noin $ 350.000 2015, ennen ylitti 10 $ miljoonan rajan seuraavana vuonna."
cat4_sub2_desc2,"Last year, League of Legends' player base (1,327) dropped to its lowest mark in three years.",Viime vuonna League of Legends pelaajista (1327) laski alimmillaan merkkiin kolmessa vuodessa.
cat4_sub2_txt1,PRIZE MONEY AWARDED,Palkintorahat TEHTY
cat4_sub2_txt2,ESPORTS PROFESSIONALS,ESPORTS AMMATTILAISET
cat4_sub3_title,COUNTER-STRIKE: GLOBAL OFFENSIVE PRIZE MONEY AND PLAYERS,Counter-Strike: Global LOUKKAAVASTA palkintorahat ja pelaajien
cat4_sub3_desc1,"Since 2013, Counter-Strike: Global Offensive's prize money has witnesssed a meteoric rise from $1.21 million to $17.27 million, while the player base is over four times as big (1,000 to 4,349).","Vuodesta 2013, Counter-Strike: Global Offensive n palkintorahoja on witnesssed rakettimainen nousu $ 1,21 miljoonasta $ 17,27 miljoonaa euroa, kun pelaaja perustaa on yli neljä kertaa niin suuri (1000 4349)."
cat4_sub3_txt1,PRIZE MONEY AWARDED,Palkintorahat TEHTY
cat4_sub3_txt2,ESPORTS PROFESSIONALS,ESPORTS AMMATTILAISET
cat4_sub4_title,STARCRAFT II PRIZE MONEY AND PLAYERS,Starcraft II palkintorahat ja pelaajien
cat4_sub4_desc1,"Following a four-year downwards trend in prize money, Starcraft II recovered to near 2011 levels last year ($3.14 million)","Seuraavat neljä vuotta alaspäin suuntaus palkintorahoja, Starcraft II taas lähes 2011 tasolla viime vuonna ($ 3,14 miljoonaa euroa)"
cat4_sub4_desc2,"With regards to player base, 2016 (399) was the smallest pool since the game's launch in 2010, perhaps reflecting its wanning popularity on the eSports scene since the advent of the MOBA (multiplayer online battle arena).","Suhteen pelaaja perustaa, 2016 (399) oli pienin altaan jälkeen pelin käynnistää vuonna 2010, mikä johtunee sen lämmetessä suosiota eSportsiin alkuajoista lähtien kynnyksellä MOBA (multiplayer online taistelu areenalla)."
cat4_sub4_txt1,PRIZE MONEY AWARDED,Palkintorahat TEHTY
cat4_sub4_txt2,ESPORTS PROFESSIONALS,ESPORTS AMMATTILAISET
cat4_sub5_title,HEARTHSTONE PRIZE MONEY AND PLAYERS,Hearthstone palkintorahat ja pelaajien
cat4_sub5_desc1,"Since the launch of the Hearthstone beta in 2013, its competitive arena has grown in each subsequent year, reaching a prize money peak ($3.4 million) in 2016.","Koska käynnistämisen Hearthstone beeta 2013, sen kilpailukenttä on kasvanut tämän jälkeen vuosittain saavuttaen palkintorahoja huippu ($ 3,4 miljoonaa euroa) vuonna 2016."
cat4_sub5_txt1,PRIZE MONEY AWARDED,Palkintorahat TEHTY
cat4_sub5_txt2,ESPORTS PROFESSIONALS,ESPORTS AMMATTILAISET
embed_title,EMBED,UPOTTAA
embed_desc,"To embed The Champions of eSports, simply copy the link below:",Upottaa mestareita eSports kopioimalla alla olevaa linkkiä:
embed_txt1,Embed Whole Piece,Upota koko kappale
embed_txt2,Copy to Clipboard,Kopioi leikepöydälle
embed_txt3,Embed Current Graph Only,Upota Nykyinen Graph Vain
info_title,INFORMATION,TIEDOT
info_txt,"<p>Champions of eSports is brought to you by Unibet.</p>

<p>Viewership data has been sourced from <a target=""_blank"" href=""https://www.statista.com/statistics/490480/global-esports-audience-size-viewer-type/"">Statista</a>.</p>

<p>eSport player, game and country data has been sourced from <a target=""_blank"" href=""http://www.esportsearnings.com/"">eSportsearnings</a>, <a target=""_blank"" href=""http://wiki.teamliquid.net/"">TeamLiquid</a>, Newzoo and Twitch.</p>

<p>Population data is supplied by WorldBank.org.</p>

<p>Information is up-to-date as of February 2017.</p>","<P> valtiaat eSports on tuonut sinulle Unibetin. </ P>

<P> Katsojatiedot ovat peräisin <a target=""_blank"" href=""https://www.statista.com/statistics/490480/global-esports-audience-size-viewer-type/""> Statista </ a>. </ p>

<P> eSport pelaaja, peli ja maa data ovat peräisin <a target=""_blank"" href=""http://www.esportsearnings.com/""> eSportsearnings </a>, <a target = ""_ blank"" href = ""http://wiki.teamliquid.net/""> TeamLiquid </a>, Newzoo ja Twitch. </ p>

<P> Väestötietokysely toimittaa WorldBank.org. </ P>

<P> tiedot ovat ajan tasalla helmikuusta 2017 mennessä. </ P>"
